competition;season_year;season;round;date;playerA;playerB;legsA;legsB
PL;2018-19;1;1;;JR;Toto;;
PL;2018-19;1;1;;Savo;Andrea;;
PL;2018-19;1;1;;Alessandro;Teo;;
PL;2018-19;1;1;;Fabio;Nic;;
PL;2018-19;1;2;;Nic;Fabio;;
PL;2018-19;1;2;;Alessandro;Andrea;;
PL;2018-19;1;2;;JR;Savo;;
PL;2018-19;1;2;;Teo;Toto;;
PL;2018-19;1;3;;Teo;Fabio;;
PL;2018-19;1;3;;Alessandro;JR;;
PL;2018-19;1;3;;Nic;Andrea;;
PL;2018-19;1;3;;Savo;Toto;;
PL;2018-19;1;4;;Fabio;Savo;;
PL;2018-19;1;4;;Toto;Andrea;;
PL;2018-19;1;4;;JR;Teo;;
PL;2018-19;1;4;;Nic;Alessandro;;
PL;2018-19;1;5;;Fabio;Teo;;
PL;2018-19;1;5;;Toto;Savo;;
PL;2018-19;1;5;;Nic;JR;;
PL;2018-19;1;5;;Andrea;Alessandro;;
PL;2018-19;1;6;;Toto;Teo;;
PL;2018-19;1;6;;JR;Andrea;;
PL;2018-19;1;6;;Alessandro;Nic;;
PL;2018-19;1;6;;Savo;Fabio;;
PL;2018-19;1;7;;Nic;Savo;;
PL;2018-19;1;7;;Andrea;Teo;;
PL;2018-19;1;7;;Alessandro;Toto;;
PL;2018-19;1;7;;JR;Fabio;;
PL;2018-19;1;8;;Teo;Savo;;
PL;2018-19;1;8;;Andrea;JR;;
PL;2018-19;1;8;;Fabio;Alessandro;;
PL;2018-19;1;8;;Toto;Nic;;
PL;2018-19;1;9;;Teo;JR;;
PL;2018-19;1;9;;Savo;Nic;;
PL;2018-19;1;9;;Alessandro;Fabio;;
PL;2018-19;1;9;;Andrea;Toto;;
PL;2018-19;1;10;;Toto;JR;;
PL;2018-19;1;10;;Savo;Alessandro;;
PL;2018-19;1;10;;Andrea;Fabio;;
PL;2018-19;1;10;;Nic;Teo;;
PL;2018-19;1;11;;Fabio;Toto;;
PL;2018-19;1;11;;Savo;Teo;;
PL;2018-19;1;11;;JR;Alessandro;;
PL;2018-19;1;11;;Andrea;Nic;;
PL;2018-19;1;12;;Fabio;Andrea;;
PL;2018-19;1;12;;Teo;Nic;;
PL;2018-19;1;12;;Toto;Alessandro;;
PL;2018-19;1;12;;Savo;JR;;
PL;2018-19;1;13;;Teo;Andrea;;
PL;2018-19;1;13;;Alessandro;Savo;;
PL;2018-19;1;13;;JR;Nic;;
PL;2018-19;1;13;;Toto;Fabio;;
PL;2018-19;1;14;;Andrea;Savo;;
PL;2018-19;1;14;;Nic;Toto;;
PL;2018-19;1;14;;Fabio;JR;;
PL;2018-19;1;14;;Teo;Alessandro;;
